Title|Location|Time
TechRaking 5ish: Bootstrapping the news (Sponsored by The Center for Investigative Reporting)|Chesapeake|1 p.m. - 5 p.m.
Detecting corporate fraud (Sponsored by Donald W. Reynolds National Center for Business Journalism)|Salon DEF|2 p.m. - 5 p.m.
CAR Conference Registration (Wednesday)|University Ballroom|2 p.m. - 5 p.m.
CAR Conference Sales (Thursday)|University Ballroom|7:30 a.m. - 5 p.m.
CAR Conference Registration (Thursday)|University Ballroom|7:30 a.m. - 5 p.m.
Welcome and overview of the conference|Grand Ballroom West|8:30 a.m. - 8:50 a.m.
Getting started: Controlling CAR conference overload|Grand Ballroom West|9 a.m. - 9:50 p.m.
NewsCamp::The next generation of data viz|Grand Ballroom East|9 a.m. - 9:50 a.m.
Getting started with open-source database manager MySQL|Stadium 3|9 a.m. - 9:50 a.m.
Rifling through the mapping toolbox|Salon DEF|9 a.m. - 9:50 a.m.
PyCAR Mini Boot Camp - Team B|Salon A|9 a.m. - 4:50 p.m.
This just in: Data for breaking news investigations|Salon BC|9 a.m. - 9:50 a.m.
PyCAR Mini Boot Camp - Team A|Stadium 5|9 a.m. - 4:50 p.m.
Media as data-illuminating the undiscovered country of television news|Chesapeake|9 a.m. - 9:50 a.m.
Amazon Cloud Basics|Stadium 4|9 a.m. - 9:50 a.m.
Mapping Mini Boot Camp|Stadium 2|9 a.m. - 4:50 p.m.
Tableau Public for beginners (Hosted by Tableau)|Stadium 1|9 a.m. - 12:30 p.m.
Enhance your stories with statistics|Salon DEF|10 a.m. - 10:50 a.m.
Follow the fracking|Salon BC|10 a.m. - 10:50 a.m.
Getting started with open-source database manager MySQL Part II|Stadium 3|10 a.m. - 10:50 a.m.
Use FOIA Machine to prepare, send and track your public records requests|Chesapeake|10 a.m. - 10:50 a.m.
Make dirty data shine with OpenRefine|Stadium 4|10 a.m. - 10:50 a.m.
NewsCamp::Intro to D3|Grand Ballroom East|10 a.m. - 11:50 a.m.
The data-driven story (Part 1) Conceiving and launching|Grand Ballroom West|10 a.m. - 10:50 a.m.
Dig into business with data investigations|Salon BC|11 a.m. - 11:50 a.m.
Love your life, retire your servers|Salon DEF|11 a.m. - 11:50 a.m.
The data-driven story (Part 2) Putting the package together|Grand Ballroom West|11 a.m. - 11:50 a.m.
FollowTheMoney: Lead the pack in tracking campaign finance|Chesapeake|11 a.m. - 11:50 a.m.
Torturing Excel into doing stats|Stadium 4|11 a.m. - 11:50 a.m.
Maps and charts in R: real newsroom examples|Stadium 3|11 a.m. - 11:50 a.m.
Tableau Public for pros (Hosted by Tableau)|Stadium 1|1:30 p.m. - 5:30 p.m.
The data-driven story (Part 3): Bulletproofing and presentation|Grand Ballroom West|2 p.m. - 2:50 p.m.
Killers and other criminals: Keeping tabs on crime|Salon BC|2 p.m. - 2:50 p.m.
NewsCamp: The next generation of data viz (Advanced)|See printed schedule for room information|2 p.m. - 4:50 p.m.
NewsCamp: The next generation of data viz (Beginner)|Stadium 4|2 p.m. - 4:50 p.m.
The customized Census: How to use microdata when you just can't find the right table|Chesapeake|2 p.m. - 2:50 p.m.
Hacks or Hackers?|Grand Ballroom East|2 p.m. - 2:50 p.m.
Free tools for data analysis|Salon DEF|2 p.m. - 2:50 p.m.
Breaking out the heavy artillery - using data to track weapons|Salon BC|3 p.m. - 3:50 p.m.
Save the data: going from zip (drive) to news by rescuing, analyzing old data|Grand Ballroom West|3 p.m. - 3:50 p.m.
